Código_IBGE,Estado,Sigla,Regiao,Fuso
11,Rondônia,RO,Norte,-1
12,Acre,AC,Norte,-2
13,Amazonas,AM,Norte,-1
14,Roraima,RR,Norte,-1
15,Pará,PA,Norte,0
16,Amapá,AP,Norte,0
17,Tocantins,TO,Norte,0
21,Maranhão,MA,Nordeste,0
22,Piauí,PI,Nordeste,0
23,Ceará,CE,Nordeste,0
24,Rio Grande do Norte,RN,Nordeste,0
25,Paraíba,PB,Nordeste,0
26,Pernambuco,PE,Nordeste,0
27,Alagoas,AL,Nordeste,0
28,Sergipe,SE,Nordeste,0
29,Bahia,BA,Nordeste,0
31,Minas Gerais,MG,Sudeste,0
32,Espírito Santo,ES,Sudeste,0
33,Rio de Janeiro,RJ,Sudeste,0
35,São Paulo,SP,Sudeste,0
41,Paraná,PR,Sul,0
42,Santa Catarina,SC,Sul,0
43,Rio Grande do Sul,RS,Sul,0
50,Mato Grosso do Sul,MS,Centro-Oeste,-1
51,Mato Grosso,MT,Centro-Oeste,-1
52,Goiás,GO,Centro-Oeste,0
53,Distrito Federal,DF,Centro-Oeste,0
