Codigo,Espacialidades,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educacao_2010
76,Brasil,"0,727","0,739","0,816","0,637"
5200050,Abadia de Goiás,"0,708","0,687","0,83","0,622"
3100104,Abadia dos Dourados,"0,689","0,693","0,839","0,563"
5200100,Abadiânia,"0,689","0,671","0,841","0,579"
3100203,Abaeté,"0,698","0,72","0,848","0,556"
1500107,Abaetetuba,"0,628","0,579","0,798","0,537"
2300101,Abaiara,"0,628","0,54","0,748","0,612"
2900108,Abaíra,"0,603","0,577","0,746","0,51"
2900207,Abaré,"0,575","0,533","0,776","0,46"
4100103,Abatiá,"0,687","0,676","0,804","0,596"
4200051,Abdon Batista,"0,694","0,66","0,812","0,625"
4200101,Abelardo Luz,"0,696","0,684","0,852","0,578"
1500131,Abel Figueiredo,"0,622","0,625","0,8","0,481"
3100302,Abre Campo,"0,654","0,646","0,823","0,525"
2600054,Abreu E Lima,"0,679","0,625","0,791","0,632"
1700251,Abreulândia,"0,665","0,7","0,835","0,502"
3100401,Acaiaca,"0,63","0,61","0,823","0,499"
2100055,Açailândia,"0,672","0,643","0,785","0,602"
2900306,Acajutiba,"0,582","0,56","0,723","0,487"
1500206,Acará,"0,506","0,517","0,757","0,332"
2300150,Acarape,"0,606","0,559","0,709","0,562"
2300200,Acaraú,"0,601","0,554","0,758","0,517"
2400109,Acari,"0,679","0,633","0,779","0,634"
2200053,Acauã,"0,528","0,517","0,692","0,411"
4300034,Aceguá,"0,687","0,703","0,852","0,541"
2300309,Acopiara,"0,595","0,563","0,724","0,517"
5100102,Acorizal,"0,628","0,594","0,816","0,51"
1200013,Acrelândia,"0,604","0,584","0,808","0,466"
5200134,Acreúna,"0,686","0,71","0,822","0,553"
2400208,Açu,"0,661","0,641","0,795","0,568"
3100500,Açucena,"0,61","0,595","0,844","0,451"
3500105,Adamantina,"0,79","0,772","0,852","0,75"
5200159,Adelândia,"0,702","0,664","0,836","0,622"
3500204,Adolfo,"0,73","0,71","0,844","0,648"
4100202,Adrianópolis,"0,667","0,644","0,817","0,563"
2900355,Adustina,"0,546","0,526","0,718","0,432"
2600104,Afogados da Ingazeira,"0,657","0,623","0,807","0,565"
2400307,Afonso Bezerra,"0,585","0,56","0,713","0,502"
3200102,Afonso Cláudio,"0,667","0,661","0,825","0,544"
2100105,Afonso Cunha,"0,529","0,471","0,725","0,434"
2600203,Afrânio,"0,588","0,542","0,761","0,493"
1500305,Afuá,"0,489","0,485","0,774","0,311"
2600302,Agrestina,"0,592","0,581","0,76","0,47"
2200103,Agricolândia,"0,599","0,55","0,742","0,526"
4200200,Agrolândia,"0,725","0,727","0,827","0,633"
4200309,Agronômica,"0,741","0,774","0,884","0,595"
1500347,Água Azul do Norte,"0,564","0,563","0,797","0,399"
3100609,Água Boa,"0,576","0,594","0,799","0,403"
5100201,Água Boa,"0,729","0,723","0,829","0,646"
2200202,Água Branca,"0,639","0,6","0,763","0,569"
2500106,Água Branca,"0,572","0,542","0,712","0,484"
2700102,Água Branca,"0,549","0,527","0,728","0,432"
5000203,Água Clara,"0,67","0,705","0,823","0,518"
3100708,Água Comprida,"0,675","0,719","0,86","0,498"
4200408,Água Doce,"0,698","0,724","0,82","0,574"
2100154,Água Doce do Maranhão,"0,5","0,494","0,697","0,363"
3200169,Água Doce do Norte,"0,652","0,619","0,819","0,546"
2900405,Água Fria,"0,55","0,529","0,747","0,422"
5200175,Água Fria de Goiás,"0,671","0,672","0,817","0,55"
3500303,Aguaí,"0,715","0,703","0,858","0,606"
5200209,Água Limpa,"0,722","0,691","0,821","0,663"
3100807,Aguanil,"0,663","0,672","0,845","0,513"
2400406,Água Nova,"0,616","0,527","0,776","0,572"
2600401,Água Preta,"0,553","0,514","0,761","0,432"
4300059,Água Santa,"0,75","0,84","0,85","0,59"
2600500,Águas Belas,"0,526","0,546","0,691","0,385"
3500402,Águas da Prata,"0,781","0,75","0,886","0,716"
4200507,Águas de Chapecó,"0,713","0,712","0,811","0,629"
3500501,Águas de Lindóia,"0,745","0,725","0,846","0,675"
3500550,Águas de Santa Bárbara,"0,757","0,744","0,84","0,695"
3500600,Águas de São Pedro,"0,854","0,849","0,89","0,825"
3100906,Águas Formosas,"0,645","0,624","0,811","0,531"
4200556,Águas Frias,"0,745","0,728","0,86","0,661"
5200258,Águas Lindas de Goiás,"0,686","0,647","0,848","0,588"
4200606,Águas Mornas,"0,723","0,731","0,853","0,606"
3101003,Águas Vermelhas,"0,601","0,586","0,808","0,458"
4300109,Agudo,"0,694","0,752","0,847","0,524"
3500709,Agudos,"0,745","0,705","0,845","0,694"
4100301,Agudos do Sul,"0,66","0,671","0,79","0,543"
3200136,Águia Branca,"0,678","0,66","0,792","0,595"
2500205,Aguiar,"0,597","0,632","0,753","0,447"
1700301,Aguiarnópolis,"0,657","0,618","0,804","0,571"
3101102,Aimorés,"0,684","0,685","0,81","0,576"
2900603,Aiquara,"0,583","0,573","0,733","0,471"
2300408,Aiuaba,"0,569","0,518","0,749","0,474"
3101201,Aiuruoca,"0,668","0,677","0,871","0,505"
4300208,Ajuricaba,"0,753","0,763","0,85","0,658"
3101300,Alagoa,"0,649","0,634","0,832","0,518"
2500304,Alagoa Grande,"0,582","0,576","0,797","0,43"
2500403,Alagoa Nova,"0,576","0,567","0,749","0,451"
2500502,Alagoinha,"0,595","0,574","0,795","0,462"
2600609,Alagoinha,"0,599","0,569","0,801","0,472"
2200251,Alagoinha do Piauí,"0,531","0,535","0,716","0,391"
2900702,Alagoinhas,"0,683","0,681","0,79","0,592"
3500758,Alambari,"0,712","0,682","0,805","0,658"
3101409,Albertina,"0,673","0,684","0,813","0,549"
2100204,Alcântara,"0,573","0,525","0,753","0,475"
2300507,Alcântaras,"0,6","0,549","0,751","0,524"
2500536,Alcantil,"0,578","0,55","0,765","0,458"
5000252,Alcinópolis,"0,711","0,733","0,858","0,572"
2900801,Alcobaça,"0,608","0,611","0,771","0,476"
2100303,Aldeias Altas,"0,513","0,5","0,72","0,374"
4300307,Alecrim,"0,672","0,683","0,852","0,522"
3200201,Alegre,"0,721","0,708","0,839","0,63"
4300406,Alegrete,"0,74","0,72","0,849","0,664"
2200277,Alegrete do Piauí,"0,585","0,564","0,749","0,475"
4300455,Alegria,"0,695","0,717","0,818","0,572"
3101508,Além Paraíba,"0,726","0,713","0,857","0,626"
1500404,Alenquer,"0,564","0,529","0,779","0,436"
2400505,Alexandria,"0,606","0,581","0,779","0,491"
5200308,Alexânia,"0,682","0,664","0,841","0,568"
3101607,Alfenas,"0,761","0,737","0,841","0,712"
3200300,Alfredo Chaves,"0,71","0,703","0,832","0,611"
3500808,Alfredo Marcondes,"0,741","0,682","0,84","0,71"
3101631,Alfredo Vasconcelos,"0,675","0,629","0,834","0,587"
4200705,Alfredo Wagner,"0,668","0,702","0,882","0,481"
2500577,Algodão de Jandaíra,"0,548","0,532","0,749","0,413"
2500601,Alhandra,"0,582","0,544","0,778","0,465"
2600708,Aliança,"0,604","0,565","0,799","0,488"
1700350,Aliança do Tocantins,"0,663","0,61","0,801","0,596"
2900900,Almadina,"0,563","0,563","0,751","0,421"
1700400,Almas,"0,636","0,616","0,796","0,524"
1500503,Almeirim,"0,642","0,659","0,809","0,497"
3101706,Almenara,"0,642","0,636","0,803","0,518"
2400604,Almino Afonso,"0,624","0,578","0,739","0,568"
4100400,Almirante Tamandaré,"0,699","0,706","0,84","0,575"
4300471,Almirante Tamandaré do Sul,"0,74","0,732","0,828","0,669"
5200506,Aloândia,"0,697","0,694","0,834","0,585"
3101805,Alpercata,"0,646","0,629","0,824","0,521"
4300505,Alpestre,"0,671","0,7","0,795","0,543"
3101904,Alpinópolis,"0,725","0,703","0,862","0,629"
5100250,Alta Floresta,"0,714","0,709","0,817","0,629"
1100015,Alta Floresta D'Oeste,"0,641","0,657","0,763","0,526"
3500907,Altair,"0,687","0,698","0,8","0,581"
1500602,Altamira,"0,665","0,662","0,811","0,548"
2100402,Altamira do Maranhão,"0,549","0,486","0,719","0,473"
4100459,Altamira do Paraná,"0,667","0,667","0,78","0,571"
2300606,Altaneira,"0,602","0,547","0,774","0,515"
3102001,Alterosa,"0,668","0,657","0,847","0,536"
2600807,Altinho,"0,598","0,559","0,792","0,482"
3501004,Altinópolis,"0,73","0,726","0,843","0,635"
1400050,Alto Alegre,"0,542","0,518","0,813","0,379"
3501103,Alto Alegre,"0,7","0,683","0,817","0,616"
4300554,Alto Alegre,"0,747","0,756","0,859","0,642"
2100436,Alto Alegre do Maranhão,"0,554","0,516","0,744","0,444"
2100477,Alto Alegre do Pindaré,"0,558","0,465","0,774","0,483"
1100379,Alto Alegre dos Parecis,"0,592","0,603","0,777","0,443"
5100300,Alto Araguaia,"0,704","0,712","0,802","0,612"
4200754,Alto Bela Vista,"0,755","0,734","0,882","0,664"
5100359,Alto Boa Vista,"0,651","0,613","0,803","0,561"
3102050,Alto Caparaó,"0,661","0,666","0,842","0,514"
2400703,Alto do Rodrigues,"0,672","0,647","0,8","0,585"
4300570,Alto Feliz,"0,734","0,74","0,886","0,603"
5100409,Alto Garças,"0,701","0,707","0,835","0,583"
5200555,Alto Horizonte,"0,719","0,709","0,841","0,624"
3153509,Alto Jequitibá,"0,66","0,66","0,787","0,554"
2200301,Alto Longá,"0,585","0,567","0,751","0,47"
4100509,Altônia,"0,721","0,69","0,848","0,641"
5100508,Alto Paraguai,"0,638","0,612","0,784","0,541"
1100403,Alto Paraíso,"0,625","0,664","0,804","0,457"
4128625,Alto Paraíso,"0,678","0,677","0,829","0,556"
5200605,Alto Paraíso de Goiás,"0,713","0,723","0,819","0,611"
4100608,Alto Paraná,"0,696","0,679","0,846","0,587"
2100501,Alto Parnaíba,"0,633","0,683","0,785","0,474"
4100707,Alto Piquiri,"0,676","0,669","0,798","0,578"
3102100,Alto Rio Doce,"0,62","0,595","0,828","0,483"
3200359,Alto Rio Novo,"0,664","0,634","0,815","0,567"
2200400,Altos,"0,614","0,59","0,767","0,512"
2300705,Alto Santo,"0,601","0,563","0,774","0,499"
5100607,Alto Taquari,"0,705","0,736","0,833","0,571"
3501152,Alumínio,"0,766","0,729","0,841","0,732"
1300029,Alvarães,"0,527","0,499","0,778","0,377"
3102209,Alvarenga,"0,592","0,589","0,798","0,441"
3501202,Álvares Florence,"0,728","0,701","0,806","0,683"
3501301,Álvares Machado,"0,758","0,712","0,834","0,732"
3501400,Álvaro de Carvalho,"0,688","0,669","0,805","0,605"
3501509,Alvinlândia,"0,722","0,721","0,791","0,659"
3102308,Alvinópolis,"0,676","0,651","0,822","0,577"
1700707,Alvorada,"0,708","0,677","0,843","0,623"
4300604,Alvorada,"0,699","0,694","0,874","0,564"
3102407,Alvorada de Minas,"0,572","0,57","0,794","0,414"
1100346,Alvorada D'Oeste,"0,643","0,654","0,763","0,534"
2200459,Alvorada do Gurguéia,"0,578","0,52","0,749","0,496"
5200803,Alvorada do Norte,"0,66","0,64","0,819","0,548"
4100806,Alvorada do Sul,"0,708","0,695","0,826","0,617"
1400027,Amajari,"0,484","0,437","0,815","0,319"
5000609,Amambai,"0,673","0,683","0,818","0,546"
1600105,Amapá,"0,642","0,631","0,79","0,532"
